name,city,course,fees,avg_package,ranking,exam,type
FMS Delhi,Delhi,MBA,200000,2500000,5,CAT,govt
IMI Delhi,Delhi,MBA,1000000,1400000,23,CAT,private
FORE School,Delhi,MBA,900000,1300000,30,CAT,private
VJTI Mumbai,Mumbai,Engineering,180000,950000,12,JEE,govt
SPJIMR Mumbai,Mumbai,MBA,1200000,2400000,8,CAT,private
IIT Madras,Chennai,Engineering,250000,1200000,2,JEE,govt
SRM University,Chennai,Engineering,300000,800000,47,JEE,private
Anna University,Chennai,Engineering,150000,700000,20,JEE,govt
IIM Bangalore,Bangalore,MBA,2300000,3200000,1,CAT,govt
PES University,Bangalore,Engineering,220000,1200000,28,COMEDK,private
Christ University,Bangalore,Management,850000,850000,35,CUET,private
BITS Pilani,Hyderabad,Engineering,210000,1400000,15,BITSAT,private
ICFAI Hyderabad,Hyderabad,MBA,800000,900000,52,ICFAI,private
Jadavpur University,Kolkata,Engineering,140000,700000,10,JEE,govt
IIT Kharagpur,Kolkata,Engineering,200000,1300000,4,JEE,govt
NIFT Ahmedabad,Ahmedabad,Design,400000,750000,42,NIFT,govt
NMIMS Mumbai,Mumbai,Management,1050000,1500000,26,NMAT,private
Symbiosis Pune,Pune,MBA,1120000,1150000,41,SNAP,private
Sinhgad College,Pune,Engineering,160000,500000,59,JEE,private
MGIMS Wardha,Nagpur,Medical,150000,900000,38,NEET,govt
NLSIU Bangalore,Bangalore,Law,270000,1430000,3,CLAT,govt
GNLU Gandhinagar,Ahmedabad,Law,200000,1100000,16,CLAT,govt
VIT Vellore,Vellore,Engineering,200000,820000,22,VITEEE,private
Osmania University,Hyderabad,Pharmacy,175000,600000,61,GPAT,govt
IIT Roorkee,Roorkee,Engineering,240000,1120000,7,JEE,govt
